cycle,cycle_capacity_Ah,SoH
2,1.8564874208181574,0.9282437104090787
4,1.846327249719927,0.9231636248599635
6,1.8353491942234077,0.9176745971117038
8,1.8352625275821128,0.9176312637910564
10,1.8346455082120419,0.9173227541060209
12,1.8356616600675495,0.9178308300337747
14,1.8351461429226603,0.9175730714613302
16,1.8257567905665537,0.9128783952832769
18,1.8247738529891333,0.9123869264945667
20,1.824613268496936,0.912306634248468
22,1.8246195526864504,0.9123097763432252
25,1.8142019357673917,0.9071009678836959
27,1.8137521577549054,0.9068760788774527
29,1.8134404914735822,0.9067202457367911
31,1.8025980036306504,0.9012990018153252
33,1.80210690024615,0.901053450123075
35,1.802579500826209,0.9012897504131046
37,1.8030683142834096,0.9015341571417048
39,1.8027776247196041,0.9013888123598021
42,1.8470259949329193,0.9235129974664597
46,1.847417311283644,0.923708655641822
50,1.8361774213478947,0.9180887106739474
54,1.8257807475776242,0.9128903737888121
58,1.8251136435078368,0.9125568217539184
62,1.8255815042203762,0.9127907521101881
66,1.8140311275083907,0.9070155637541953
70,1.8147691941158939,0.9073845970579469
74,1.813969388710352,0.906984694355176
78,1.802765665167823,0.9013828325839115
82,1.804077040117352,0.902038520058676
86,1.8518025516704486,0.9259012758352243
90,1.8307038456739428,0.9153519228369714
94,1.8199041089501267,0.9099520544750633
98,1.8093079637028517,0.9046539818514259
102,1.80460990458052,0.90230495229026
106,1.7993770651972192,0.8996885325986096
110,1.7884432335370462,0.8942216167685231
114,1.7829230484252723,0.8914615242126361
118,1.7730337158018288,0.8865168579009144
122,1.773037755078937,0.8865188775394685
126,1.7678721106662054,0.8839360553331027
130,1.7623150704093087,0.8811575352046543
134,1.7676172924938447,0.8838086462469223
136,1.762668359743147,0.8813341798715735
140,1.7517304870664143,0.8758652435332072
144,1.7418496047960008,0.8709248023980004
148,1.7360913511847138,0.8680456755923569
150,1.7936240148573608,0.8968120074286804
154,1.7831890223273275,0.8915945111636637
158,1.7673642076278957,0.8836821038139479
162,1.7570177850353066,0.8785088925176533
166,1.7468706179837907,0.8734353089918954
170,1.7417172507457144,0.8708586253728572
174,1.7364225056478186,0.8682112528239093
178,1.7263217239235826,0.8631608619617913
182,1.7158065389330133,0.8579032694665066
186,1.710533351135192,0.855266675567596
190,1.706014499648521,0.8530072498242605
194,1.7003110272642588,0.8501555136321294
198,1.6945798601797895,0.8472899300898947
202,1.6849029086609286,0.8424514543304643
206,1.6744741591159717,0.8372370795579859
210,1.6745692479879102,0.8372846239939551
214,1.663716375981405,0.8318581879907025
216,1.659013868748246,0.829506934374123
220,1.6538540573335014,0.8269270286667507
224,1.642653782130131,0.8213268910650655
228,1.6378578430223698,0.8189289215111849
232,1.6327350407099108,0.8163675203549554
236,1.6277528915533617,0.8138764457766808
240,1.622125485521159,0.8110627427605795
244,1.6113256603765849,0.8056628301882924
248,1.6065631397488385,0.8032815698744192
252,1.6015142233917594,0.8007571116958797
256,1.590369231400328,0.795184615700164
260,1.5857889968242211,0.7928944984121106
264,1.5849430707374117,0.7924715353687058
266,1.5955263892495937,0.7977631946247968
270,1.5747301747801037,0.7873650873900518
274,1.5649019950937946,0.7824509975468973
278,1.5597659473370362,0.7798829736685181
282,1.5594815668184234,0.7797407834092117
286,1.55468935359061,0.777344676795305
290,1.5488741079890418,0.7744370539945209
294,1.538236598942558,0.769118299471279
298,1.527914258251028,0.763957129125514
302,1.5285252629756445,0.7642626314878223
306,1.522647325284378,0.761323662642189
310,1.5174859938489869,0.7587429969244934
313,1.605818899130659,0.8029094495653295
316,1.5638491446744425,0.7819245723372212
320,1.5480915247767786,0.7740457623883893
324,1.5323755631868592,0.7661877815934296
328,1.5269528268489705,0.7634764134244852
332,1.5169573017136326,0.7584786508568163
336,1.5118975960142693,0.7559487980071347
340,1.5065638960681105,0.7532819480340552
344,1.5015453526671363,0.7507726763335681
348,1.4908444050400238,0.7454222025200119
352,1.485868384561201,0.7429341922806005
356,1.480413677976106,0.740206838988053
360,1.4752095869031632,0.7376047934515816
364,1.4859035988304024,0.7429517994152012
367,1.4960918298136696,0.7480459149068348
371,1.4808005946928984,0.7404002973464492
375,1.4697543268466824,0.7348771634233412
379,1.4539012274845928,0.7269506137422964
383,1.4541462067235693,0.7270731033617847
387,1.455023751906683,0.7275118759533415
391,1.449042163761236,0.724521081880618
395,1.4386709371480566,0.7193354685740283
399,1.433445432156979,0.7167227160784895
403,1.4333958900838095,0.7166979450419048
407,1.42806487344776,0.71403243672388
411,1.4229203181741186,0.7114601590870593
415,1.417429032731308,0.708714516365654
419,1.412409228794446,0.706204614397223
423,1.412578792940193,0.7062893964700965
427,1.4075983731469897,0.7037991865734948
431,1.4333920485221476,0.7166960242610738
433,1.4382550176792908,0.7191275088396454
437,1.4173547174485526,0.7086773587242763
441,1.406981663677643,0.7034908318388216
445,1.4012037783587625,0.7006018891793813
449,1.3967008232726328,0.6983504116363164
453,1.391284788852726,0.695642394426363
457,1.3862287677978349,0.6931143838989174
461,1.3804366761974138,0.6902183380987069
465,1.3752364150256224,0.6876182075128112
469,1.3705128024895008,0.6852564012447504
473,1.3705085566270399,0.6852542783135199
477,1.3647355108681518,0.6823677554340759
481,1.375392016895762,0.687696008447881
483,1.3861115151535393,0.6930557575767696
485,1.3698500035838939,0.6849250017919469
489,1.3647827949260758,0.6823913974630379
493,1.3543220466259964,0.6771610233129982
497,1.3546417018378962,0.6773208509189481
501,1.3547039213192407,0.6773519606596203
505,1.349314997503458,0.674657498751729
509,1.3441891937970554,0.6720945968985277
513,1.3389913790695755,0.6694956895347878
517,1.3389145230206971,0.6694572615103486
521,1.3340066759761655,0.6670033379880828
525,1.3286444309174914,0.6643222154587457
529,1.3231708992276219,0.6615854496138109
533,1.3181691588445197,0.6590845794222598
537,1.3184664436640334,0.6592332218320167
541,1.318293040102702,0.659146520051351
545,1.323872422244268,0.661936211122134
548,1.3601216766554785,0.6800608383277392
552,1.3395306867947354,0.6697653433973677
556,1.3290286565120697,0.6645143282560348
560,1.3236741274998955,0.6618370637499478
564,1.318633896753293,0.6593169483766465
568,1.3134751321324272,0.6567375660662136
572,1.3132020634442203,0.6566010317221102
576,1.3077959946944353,0.6538979973472177
580,1.3030329186405918,0.6515164593202959
584,1.3033573559038205,0.6516786779519103
588,1.3034100438655642,0.6517050219327821
592,1.2978870806495706,0.6489435403247853
596,1.2980735056918902,0.6490367528459451
600,1.293463613844243,0.6467318069221215
604,1.288003392619118,0.644001696309559
608,1.2874525221379407,0.6437262610689704
612,1.3090153642307354,0.6545076821153677
614,1.3250793286429356,0.6625396643214678
